Title,Link,Category,Rating,Thumbnail,Description
"""Dice Dreams™️""","""https://play.google.com/store/apps/details?id=com.superplaystudios.dicedreams""","""Casual""","""4.7""","""https://play-lh.googleusercontent.com/QUzf9m4noU2CG79uaSZjmWNQnRgUxE7k3P1vyrJ4G35qMPvjfP8CR-YW-UuOeHrSSsI=s128-rw""",""" Roll & Win """
"""Screw Puzzle: Wood Nut & Bolt""","""https://play.google.com/store/apps/details?id=com.fc.nut.screw.bolt.washer.fastener.puzzle""","""Puzzle""","""4.6""","""https://play-lh.googleusercontent.com/VMdkVzZ6QQzjmAC4rtA4KN4wyRcqwu5llisvknwfHwalxXkMgdiWUD4Sa0sG4TlnYcE=s128-rw""","""Welcome to the Screw Puzzle: Wood Nut & Bolt game, where the world of puzzles meets the thrill of fasteners! Embark on a thrilling adventure where bolts, nuts, and wooden puzzles collide in a mind-bending challenge. Dive into a world filled with conundrums, where every turn reveals a new twist in the game."""
"""My Perfect Hotel""","""https://play.google.com/store/apps/details?id=com.master.hotelmaster""","""Arcade""","""4.4""","""https://play-lh.googleusercontent.com/3hRbDjRjWMM6fIqfLFFt87W-_UCv-slKX46_zpDGc-i7Qv5GloRvtxoYpIrGILNUDc4=s128-rw""","""Design and manage your dream hotel, customize rooms, and satisfy guests in this immersive simulation game. """
"""Craft Box Game Tree""","""https://play.google.com/store/apps/details?id=com.block.craft.cell.city.master.monster""","""Simulation""","""3.6""","""https://play-lh.googleusercontent.com/Ud0KNeEoKzSquAGUdjUnQhqEacGbPlfuH76L8ApYnoyje7zcvkxcsA_Hpu8kobolKNDK=s128-rw""","""Craft Box Game Tree is a building simulator in clicker format where you can create stunning block houses that will become not only your cozy base, but also a real architectural masterpiece!"""
"""Melon Sandbox""","""https://play.google.com/store/apps/details?id=com.studio27.MelonPlayground""","""Simulation""","""4.5""","""https://play-lh.googleusercontent.com/shl7HadKA3ZQKLP56B6mYBvM6kmRmSoLxx7oo7YeEwfaH0Oi_UpAqmaVHRSMGnpS57jh=s128-rw""","""Let your imagination loose with the wide variety of items at your disposal: melee weapons, guns and even barrels!"""
"""Geometry Dash Lite""","""https://play.google.com/store/apps/details?id=com.robtopx.geometryjumplite""","""Arcade""","""4.3""","""https://play-lh.googleusercontent.com/p7kWbWBFxQIrzolEqiV5uSvctLeyssZvBV7UBOX29wzZI52IdcSs4qCB_zsQJL1mt9A=s128-rw""","""Jump and fly your way through danger in this rhythm-based action platformer!"""
"""Race Master 3D - Car Racing""","""https://play.google.com/store/apps/details?id=com.easygames.race""","""Racing""","""4.5""","""https://play-lh.googleusercontent.com/7x4TWM86ezxXupWVUj8Ta93eqzJt6eYUWkmbTgdSx5IDCPBstDN-59C1ewyLGMoxNno=s128-rw""","""Keep your finger to the floor and be ready for absolutely anything in this ridiculously entertaining mobile racing game where you really never know what’s around the next corner. Fine tune your ride,keep your foot on the gas,dodge the endlessly varied obstacles,and try to keep out the way of your equally manic rivals in super-fast,super-exciting,psychedelic races that always offer something new and unexpected. Feel the need for speed? """
"""Desktop Garden""","""https://play.google.com/store/apps/details?id=com.desktop.garden""","""Casual""","""4.2""","""https://play-lh.googleusercontent.com/gqBgbiUj2_mSBsU_rf2L9tQMfI80x9eTUjfdz06-mxv2-auf6iDLlUvAmRaxsyM7toc=s128-rw""","""If you want to experience planting green plants on your phone, you really need an electronic garden. Download now to start planting plants."""
"""Tile Dynasty: Triple Mahjong""","""https://play.google.com/store/apps/details?id=com.tripledot.tile.dynasty""","""Casual""","""4.9""","""https://play-lh.googleusercontent.com/SVZEHKU1KYsjrPoRzLiXptkNWFGvB46-xQxJnQgJw616zIB3dDGIrMP5u3JN3kY0-Erc=s128-rw""","""Welcome to the captivating world of Tile Dynasty, where the art of matching tiles takes center stage in this exciting puzzle adventure!"""
"""Brawl Stars""","""https://play.google.com/store/apps/details?id=com.supercell.brawlstars""","""Action""","""4.3""","""https://play-lh.googleusercontent.com/EiElcSrd6-o-19roiswSx0AZPzsq6qF3hUGHsSWDl5UVtj7G23DHkneM8ucwqyOmEg=s128-rw""","""Fast-paced 3v3 multiplayer and battle royale made for mobile! Play with friends or solo across a variety of game modes in under three minutes."""
